,country,2021,2020,2019,2018,2017,2016,2015
0,Afghanistan,2.523,2.566900015,3.2030000000000003,3.632,3.79399991035461,3.36,3.575
1,Albania,5.117,4.882699966000001,4.718999999999999,4.586,4.64400005340576,4.655,4.959
2,Algeria,4.887,5.005099773,5.211,5.295,5.872000217437741,6.355,5.605
3,Argentina,5.928999999999999,5.974699974,6.086,6.388,6.59899997711182,6.65,6.574
4,Armenia,5.283,4.676799774,4.559,4.321000000000001,4.37599992752075,4.36,4.35
5,Australia,7.183,7.222799778,7.228,7.272,7.28399991989136,7.313,7.284
6,Austria,7.268,7.294199944,7.246,7.138999999999999,7.00600004196167,7.119,7.2
7,Azerbaijan,5.171,5.164800167,5.207999999999999,5.2010000000000005,5.234000205993651,5.291,5.212000000000001
8,Bahrain,6.647,6.227300167,6.199,6.105,6.08699989318848,6.218,5.96
9,Bangladesh,5.025,4.832799911,4.456,4.5,4.60799980163574,4.643,4.694
10,Belarus,5.534,5.539899826,5.323,5.483,5.5689997673034695,5.8020000000000005,5.813
11,Belgium,6.834,6.863500117999999,6.922999999999999,6.9270000000000005,6.89099979400635,6.928999999999999,6.937
12,Benin,5.045,5.21600008,4.883,4.141,3.65700006484985,3.484,3.34
13,Bolivia,5.716,5.747499942999999,5.779,5.752000000000001,5.82299995422363,5.822,5.89
14,Bosnia and Herzegovina,5.813,5.674099922000001,5.386,5.129,5.18200016021729,5.162999999999999,4.949
15,Botswana,3.467,3.478899956,3.488,3.59,3.7660000324249294,3.974,4.332
16,Brazil,6.33,6.375599861,6.3,6.419,6.63500022888184,6.952000000000001,6.983
17,Bulgaria,5.266,5.101500034,5.011,4.933,4.71400022506714,4.217,4.218
18,Burkina Faso,4.834,4.768700123,4.587,4.424,4.03200006484985,3.739,3.587
19,Burundi,3.775,3.775300026,3.775,2.905,2.90499997138977,2.905,2.905
20,Cambodia,4.83,4.8484001160000005,4.7,4.433,4.1680002212524405,3.907,3.819
21,Cameroon,5.142,5.084899902,5.044,4.975,4.69500017166138,4.513,4.252
22,Canada,7.103,7.23210001,7.278,7.327999999999999,7.31599998474121,7.404,7.427
23,Chad,4.355,4.422699928,4.35,4.301,3.9360001087188703,3.763,3.667
24,Chile,6.172000000000001,6.228499889,6.444,6.476,6.65199995040894,6.705,6.67
25,China,5.339,5.123899937,5.191,5.246,5.2729997634887695,5.245,5.14
26,Colombia,6.0120000000000005,6.163400172999999,6.125,6.26,6.35699987411499,6.481,6.477
27,Comoros,4.289,4.288599968,3.973,,,3.956,3.956
28,Congo (Brazzaville),5.3420000000000005,5.194399834,4.812,4.559,4.29099988937378,4.236000000000001,3.989
29,Costa Rica,7.069,7.121399879,7.167000000000001,7.072,7.0789999961853,7.087000000000001,7.226
30,Croatia,5.882000000000001,5.504700184,5.432,5.321000000000001,5.2930002212524405,5.488,5.759
31,Cyprus,6.223,6.15899992,6.046,5.7620000000000005,5.62099981307983,5.546,5.689
32,Czech Republic,6.965,6.9109001160000005,6.852,6.711,6.60900020599365,6.596,6.505
33,Denmark,7.62,7.645599842,7.6,7.555,7.52199983596802,7.526,7.527
34,Dominican Republic,5.545,5.689199924,5.425,5.3020000000000005,5.230000019073491,5.155,4.885
35,Ecuador,5.763999999999999,5.925199986,6.028,5.973,6.00799989700317,5.976,5.975
36,Egypt,4.283,4.151400089,4.166,4.419,4.7350001335144,4.362,4.194
37,El Salvador,6.061,6.34829998,6.252999999999999,6.167000000000001,6.002999782562259,6.068,6.13
38,Estonia,6.189,6.0218000410000005,5.893,5.739,5.61100006103516,5.517,5.428999999999999
39,Ethiopia,4.275,4.186200142,4.2860000000000005,4.35,4.46000003814697,4.508,4.512
40,Finland,7.842,7.808700085,7.769,7.632000000000001,7.468999862670901,7.412999999999999,7.406000000000001
41,France,6.69,6.663799762999999,6.5920000000000005,6.489,6.44199991226196,6.478,6.575
42,Gabon,4.852,4.829299927,4.799,4.758,4.46500015258789,4.121,3.896
43,Gambia,5.051,4.750599861,4.516,,,,
44,Georgia,4.891,4.672599792,4.519,4.34,4.28599977493286,4.252,4.297
45,Germany,7.155,7.075799942000001,6.985,6.965,6.9510002136230495,6.994,6.75
46,Ghana,5.088,5.1479997630000005,4.996,4.657,4.11999988555908,4.276,4.633
47,Greece,5.723,5.514999866,5.287000000000001,5.358,5.227000236511231,5.033,4.857
48,Guatemala,6.435,6.398900032,6.436,6.382000000000001,6.4539999961853,6.324,6.122999999999999
49,Guinea,4.984,4.949299812,4.534,3.964,3.50699996948242,3.607,3.656
50,Haiti,3.615,3.720799923,3.597,3.582,3.6029999256134,4.0280000000000005,4.518
51,Honduras,5.919,5.953199862999999,5.86,5.504,5.1810002326965305,4.871,4.788
52,Hong Kong S.A.R. of China,5.477,5.510399818,,,,,
53,Hungary,5.992000000000001,6.000400066,5.757999999999999,5.62,5.32399988174438,5.145,4.8
54,Iceland,7.553999999999999,7.504499912000001,7.494,7.495,7.50400018692017,7.501,7.561
55,India,3.819,3.573299885,4.015,4.19,4.31500005722046,4.404,4.565
56,Indonesia,5.345,5.285600185,5.192,5.093,5.26200008392334,5.314,5.399
57,Iran,4.721,4.672399998,4.548,4.707,4.69199991226196,4.813,4.686
58,Iraq,4.854,4.7848000530000006,4.437,4.456,4.49700021743774,4.575,4.677
59,Ireland,7.085,7.093699932000001,7.021,6.977,6.977000236511231,6.907,6.94
60,Israel,7.157,7.128600121,7.138999999999999,6.814,7.212999820709231,7.267,7.278
61,Italy,6.483,6.38740015,6.223,6.0,5.96400022506714,5.977,5.948
62,Ivory Coast,5.306,5.233300208999999,4.944,4.671,4.17999982833862,3.916,3.655
63,Jamaica,6.309,5.889800072000001,5.89,5.89,5.31099987030029,5.51,5.709
64,Japan,5.94,5.870800018,5.886,5.915,5.92000007629395,5.921,5.987
65,Jordan,4.395,4.6333999630000005,4.906000000000001,5.1610000000000005,5.33599996566772,5.303,5.192
66,Kazakhstan,6.152,6.0578999520000005,5.809,5.79,5.8189997673034695,5.919,5.855
67,Kenya,4.607,4.583000183,4.509,4.41,4.55299997329712,4.356,4.419
68,Kosovo,6.372000000000001,6.325200081,6.1,5.662000000000001,5.27899980545044,5.401,5.589
